# Pathway	FMD_002_kneaddata_paired_clean_paired_Abundance-RELAB	FMD_003_kneaddata_paired_clean_paired_Abundance-RELAB	FMD_004_kneaddata_paired_clean_paired_Abundance-RELAB	FMD_006_kneaddata_paired_clean_paired_Abundance-RELAB	FMD_008_kneaddata_paired_clean_paired_Abundance-RELAB	FMD_009_kneaddata_paired_clean_paired_Abundance-RELAB	FMD_012_kneaddata_paired_clean_paired_Abundance-RELAB	FMD_013_kneaddata_paired_clean_paired_Abundance-RELAB	FMD_014_kneaddata_paired_clean_paired_Abundance-RELAB	FMD_015_kneaddata_paired_clean_paired_Abundance-RELAB	FMD_017_kneaddata_paired_clean_paired_Abundance-RELAB	FMD_021_kneaddata_paired_clean_paired_Abundance-RELAB	FMD_023_kneaddata_paired_clean_paired_Abundance-RELAB	FMD_024_kneaddata_paired_clean_paired_Abundance-RELAB	FMD_025_kneaddata_paired_clean_paired_Abundance-RELAB	FMD_026_kneaddata_paired_clean_paired_Abundance-RELAB	FMD_027_kneaddata_paired_clean_paired_Abundance-RELAB	FMD_028_kneaddata_paired_clean_paired_Abundance-RELAB	FMD_029_kneaddata_paired_clean_paired_Abundance-RELAB	FMD_032_kneaddata_paired_clean_paired_Abundance-RELAB	FMD_033_kneaddata_paired_clean_paired_Abundance-RELAB	FMD_034_kneaddata_paired_clean_paired_Abundance-RELAB	FMD_035_kneaddata_paired_clean_paired_Abundance-RELAB	FMD_037_kneaddata_paired_clean_paired_Abundance-RELAB	FMD_038_kneaddata_paired_clean_paired_Abundance-RELAB	FMD_039_040_kneaddata_paired_clean_paired_Abundance-RELAB	FMD_043_044_kneaddata_paired_clean_paired_Abundance-RELAB	FMD_050_kneaddata_paired_clean_paired_Abundance-RELAB	FMD_051_kneaddata_paired_clean_paired_Abundance-RELAB	FMD_052_kneaddata_paired_clean_paired_Abundance-RELAB	FMD_058_kneaddata_paired_clean_paired_Abundance-RELAB	FMD_059_kneaddata_paired_clean_paired_Abundance-RELAB
UNMAPPED	0.831057	0.744166	0.938369	0.692821	0.681865	0.734289	0.862014	0.936059	0.778539	0.686366	0.91029	0.865534	0.897638	0.843399	0.581023	0.952922	0.917444	0.960744	0.931337	0.880459	0.946746	0.801793	0.904114	0.883305	0.809857	0.862096	0.839497	0.925497	0.906701	0.946919	0.89168	0.945339
UNINTEGRATED	0.156389	0.23403	0.0568841	0.280966	0.292085	0.244119	0.127351	0.0611621	0.204664	0.28793	0.085944	0.127144	0.0999302	0.144608	0.381842	0.046579	0.0793738	0.03692	0.0657317	0.116211	0.0509947	0.182059	0.090081	0.108005	0.174003	0.126897	0.147524	0.0689261	0.088876	0.0498618	0.102122	0.0510725
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation	0	8.51486e-07	0	3.67303e-06	3.23558e-06	1.1501e-06	1.11135e-06	0	0	2.03209e-06	0	0	0	0	1.58889e-06	0	0	0	0	0	0	1.39497e-06	0	0	4.3927e-07	0	0	5.10988e-07	0	0	0	0
14DICHLORBENZDEG-PWY: 1,4-dichlorobenzene degradation	0	1.0636e-06	0	2.52366e-05	1.64231e-06	1.22449e-06	1.44209e-06	0	0	1.76008e-06	0	2.95701e-06	0	4.78268e-07	8.19569e-06	0	2.12174e-06	0	7.31899e-07	1.72948e-06	0	1.80119e-06	1.55282e-06	2.99071e-06	2.53485e-06	2.95452e-06	0	1.05624e-06	3.24764e-06	3.17102e-06	1.54527e-06	1.11855e-06
1CMET2-PWY: folate transformations III (E. coli)	6.30014e-05	0.000115946	2.04304e-05	0.000133629	0.000147061	0.000117112	5.10487e-05	5.86398e-06	2.73755e-05	0.000152145	6.93299e-06	3.41985e-05	0	5.27123e-05	0.000207338	0	8.45227e-06	6.79759e-06	1.01129e-05	3.48893e-06	4.83693e-06	7.53168e-05	2.96614e-05	3.34649e-05	8.17357e-05	5.2273e-05	8.29106e-05	1.94469e-05	1.73241e-05	1.02436e-05	2.05989e-05	1.11583e-05
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0	7.37929e-07	0	0	0	0	0	0	0	0	0	0	0	3.49789e-07	2.20922e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4-HYDROXYMANDELATE-DEGRADATION-PWY: 4-hydroxymandelate degradation	0	1.0871e-06	0	1.71208e-06	1.57518e-06	2.62289e-06	1.42465e-06	0	0	1.93498e-06	0	0	0	0	4.71416e-06	0	0	0	0	0	0	0	0	0	9.663e-07	0	0	0	0	1.22597e-06	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0	0	3.90465e-07	0	1.09674e-06	1.37615e-06	4.68072e-07	0	0	3.68316e-06	0	0	0	1.24401e-06	7.07174e-07	0	0	0	0	0	0	1.09366e-06	0	0	0	0	0	0	0	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	4.42344e-06	4.69497e-06	5.27618e-07	4.54688e-06	8.22439e-06	8.65969e-06	1.32505e-05	9.43253e-07	5.76539e-06	6.35376e-06	0	3.83503e-06	2.12894e-06	4.0384e-06	7.84589e-06	0	2.75848e-06	0	7.12923e-07	5.14959e-06	0	8.02206e-06	1.25511e-06	0	2.43708e-06	2.59629e-06	5.61068e-06	7.43362e-07	1.80362e-06	5.78013e-07	9.85448e-06	2.29186e-06
ANAEROFRUCAT-PWY: homolactic fermentation	3.80743e-05	7.45261e-05	1.71097e-05	9.13828e-05	9.88692e-05	6.96981e-05	3.69134e-05	3.21183e-06	3.87824e-05	9.63558e-05	1.3205e-05	1.58624e-05	0	4.67627e-05	0.000120675	0	6.39654e-06	6.31049e-06	8.4476e-06	4.17256e-06	0	5.82357e-05	1.31643e-05	2.22028e-05	4.67359e-05	3.50292e-05	3.83784e-05	1.52537e-05	1.00616e-05	9.06869e-06	9.55369e-06	9.61842e-06
