Assembly Accession	Organism Name				GCA_000006765.1	Pseudomonas aeruginosa PAO1	Pseudomonas aeruginosa PAO1|GCA_000006765.1							 		Tree node label
GCA_000006765.1	Pseudomonas aeruginosa PAO1				GCA_000007565.2	Pseudomonas putida KT2440	Pseudomonas putida KT2440|GCA_000007565.2						#	zZ1006560353348684340zZ	#zZ1006560353348684340zZ	Pseudomonas aeruginosa|GCA_021513495.1
GCA_000007565.2	Pseudomonas putida KT2440				GCA_000007805.1	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas syringae pv. tomato str. DC3000|GCA_000007805.1						#	zZ1014990359998861666zZ	#zZ1014990359998861666zZ	Pseudomonas wadenswilerensis|GCA_024749185.1
GCA_000007805.1	Pseudomonas syringae pv. tomato str. DC3000				GCA_000012205.1	Pseudomonas savastanoi pv. phaseolicola 1448A	Pseudomonas savastanoi pv. phaseolicola 1448A|GCA_000012205.1						#	zZ1025597438093637704zZ	#zZ1025597438093637704zZ	Pseudomonas aeruginosa|GCA_030908425.1
GCA_000009225.1	Pseudomonas fluorescens SBW25				GCA_000012245.1	Pseudomonas syringae pv. syringae B728a	Pseudomonas syringae pv. syringae B728a|GCA_000012245.1						#	zZ102739819183183160zZ	#zZ102739819183183160zZ	Pseudomonas aeruginosa|GCA_023571485.1
GCA_000012205.1	Pseudomonas savastanoi pv. phaseolicola 1448A				GCA_000012265.1	Pseudomonas protegens Pf-5	Pseudomonas protegens Pf-5|GCA_000012265.1						#	zZ1028737891353932118zZ	#zZ1028737891353932118zZ	Pseudomonas aeruginosa|GCA_001542795.2
GCA_000012245.1	Pseudomonas syringae pv. syringae B728a				GCA_000012445.1	Pseudomonas fluorescens Pf0-1	Pseudomonas fluorescens Pf0-1|GCA_000012445.1						#	zZ1033142428471079651zZ	#zZ1033142428471079651zZ	Pseudomonas sp. FP2309|GCA_030687575.1
GCA_000012265.1	Pseudomonas protegens Pf-5				GCA_000014625.1	Pseudomonas aeruginosa UCBPP-PA14	Pseudomonas aeruginosa UCBPP-PA14|GCA_000014625.1						#	zZ1038013931459467950zZ	#zZ1038013931459467950zZ	Pseudomonas aeruginosa|GCA_013394455.1
GCA_000012445.1	Pseudomonas fluorescens Pf0-1				GCA_000017205.1	Pseudomonas aeruginosa PA7	Pseudomonas aeruginosa PA7|GCA_000017205.1						#	zZ1041913829962869941zZ	#zZ1041913829962869941zZ	Pseudomonas sp. 13159349|GCA_013305685.1
GCA_000014625.1	Pseudomonas aeruginosa UCBPP-PA14				GCA_000019125.1	Pseudomonas putida GB-1	Pseudomonas putida GB-1|GCA_000019125.1						#	zZ1042431312617217099zZ	#zZ1042431312617217099zZ	Pseudomonas putida|GCA_014217705.1
GCA_000017205.1	Pseudomonas aeruginosa PA7				GCA_000026105.1	Pseudomonas entomophila L48	Pseudomonas entomophila L48|GCA_000026105.1						#	zZ1044702739715792452zZ	#zZ1044702739715792452zZ	Pseudomonas monteilii|GCA_009831395.1
