Run ID: mytest2
Genomes produced: 2118
Alignment mode: codon
Filtered by: 50%

Genomes included in the analysis
uid	label	acc	taxon_name	strain_name	type	taxonomy	UBCG
8619687272992546460	FMD_015_bin.10.fa	null	null	null	null	null	61
9006246012494882473	GCA_000829885.1	null	null	null	null	null	82
854080401284847398	GCA_000006765.1	null	null	null	null	null	82
4880092067796286283	GCA_000007565.2	null	null	null	null	null	82
794387193708146864	GCA_000007805.1	null	null	null	null	null	82
5185101122374559456	GCA_000012205.1	null	null	null	null	null	82
2290018714187143365	GCA_000012245.1	null	null	null	null	null	82
2142088168027625032	GCA_000012265.1	null	null	null	null	null	82
4491106556430497529	GCA_000012445.1	null	null	null	null	null	82
8996694516240298456	GCA_000014625.1	null	null	null	null	null	82
269675155089011841	GCA_000017205.1	null	null	null	null	null	82
5067395254208188570	GCA_000019125.1	null	null	null	null	null	82
4795296230456700591	GCA_000026105.1	null	null	null	null	null	82
3265209789644883000	GCA_000026645.1	null	null	null	null	null	82
4758160074429817557	GCA_000145825.2	null	null	null	null	null	82
3186307097917596849	GCA_000145845.2	null	null	null	null	null	82
1907791591870195798	GCA_000145945.2	null	null	null	null	null	82
8592282725089832421	GCA_000146005.2	null	null	null	null	null	87
5558379728025713915	GCA_000156995.2	null	null	null	null	null	82
2313391704655012508	GCA_000164015.3	null	null	null	null	null	82
8213688913730296530	GCA_000168335.1	null	null	null	null	null	82
7887662847669460381	GCA_000183645.1	null	null	null	null	null	82
5405982377504052912	GCA_000194805.1	null	null	null	null	null	82
167373283071547690	GCA_000204295.1	null	null	null	null	null	82
5678980904702662673	GCA_000213805.1	null	null	null	null	null	82
57797620212688752	GCA_000223945.2	null	null	null	null	null	82
2035957791309869622	GCA_000223965.2	null	null	null	null	null	82
3337157545294114253	GCA_000226035.3	null	null	null	null	null	82
7116715318081123868	GCA_000226155.1	null	null	null	null	null	82
2886419058613945737	GCA_000237065.1	null	null	null	null	null	82
3248705235472481593	GCA_000257545.3	null	null	null	null	null	82
198651861475318169	GCA_000262325.2	null	null	null	null	null	82
3425385694675057912	GCA_000264665.2	null	null	null	null	null	82
6535487858329783497	GCA_000271365.1	null	null	null	null	null	82
5529895124040305384	GCA_000271965.2	null	null	null	null	null	82
606241617742356564	GCA_000271985.2	null	null	null	null	null	82
2067841792058558972	GCA_000281215.1	null	null	null	null	null	81
1716036341439010523	GCA_000282175.2	null	null	null	null	null	83
707236223757257435	GCA_000284555.1	null	null	null	null	null	82
4423652843386295739	GCA_000293885.3	null	null	null	null	null	82
8032705294370051966	GCA_000297075.2	null	null	null	null	null	82
2825806512492242121	GCA_000316175.1	null	null	null	null	null	83
2037786796701283477	GCA_000325725.1	null	null	null	null	null	82
9118122832161992612	GCA_000336465.1	null	null	null	null	null	82
5251676213125755411	GCA_000344335.2	null	null	null	null	null	84
8382776994363070724	GCA_000344355.2	null	null	null	null	null	82
128758663246433437	GCA_000344475.3	null	null	null	null	null	82
5816466178282158070	GCA_000346225.2	null	null	null	null	null	82
5473316392396531281	GCA_000349845.1	null	null	null	null	null	82
4434520645797151778	GCA_000359505.1	null	null	null	null	null	82
6610335727303024337	GCA_000397205.1	null	null	null	null	null	82
3850729446548432585	GCA_000410575.1	null	null	null	null	null	82
826308287845250579	GCA_000412675.1	null	null	null	null	null	82
1339727557322429791	GCA_000412695.1	null	null	null	null	null	82
36994079329014828	GCA_000414035.1	null	null	null	null	null	82
7241031698601536742	GCA_000452445.3	null	null	null	null	null	82
4453429693050674188	GCA_000452525.4	null	null	null	null	null	82
1631858895469942506	GCA_000452565.3	null	null	null	null	null	82
1367524763878936850	GCA_000452585.3	null	null	null	null	null	82
7760847740059709703	GCA_000452605.3	null	null	null	null	null	82
7521477484587919377	GCA_000452705.3	null	null	null	null	null	85
4949089785644525698	GCA_000452745.3	null	null	null	null	null	82
5610479201420840519	GCA_000473745.3	null	null	null	null	null	81
352376593619483810	GCA_000494915.1	null	null	null	null	null	82
917211159936221238	GCA_000495455.2	null	null	null	null	null	83
4547258033144336853	GCA_000496455.2	null	null	null	null	null	82
2773271756612676212	GCA_000496605.2	null	null	null	null	null	82
2717582327613721389	GCA_000496645.1	null	null	null	null	null	82
2951178881546269012	GCA_000498395.3	null	null	null	null	null	82
1434692170339904563	GCA_000498975.2	null	null	null	null	null	82
947303766011087761	GCA_000504045.1	null	null	null	null	null	82
2191655502904326099	GCA_000508205.1	null	null	null	null	null	82
8726616224563492370	GCA_000508765.1	null	null	null	null	null	82
2602819323079921242	GCA_000510285.1	null	null	null	null	null	82
4375072970041411199	GCA_000510305.1	null	null	null	null	null	82
4488280184758784488	GCA_000510325.1	null	null	null	null	null	82
216232495781630979	GCA_000511325.1	null	null	null	null	null	82
6297333382980168608	GCA_000517305.1	null	null	null	null	null	82
3161666589291679778	GCA_000524595.1	null	null	null	null	null	82
1988807215767852387	GCA_000568855.2	null	null	null	null	null	82
7300865482367702498	GCA_000585995.1	null	null	null	null	null	82
3629078115546354268	GCA_000648735.3	null	null	null	null	null	82
6000822681417466048	GCA_000689415.1	null	null	null	null	null	81
432165527047660090	GCA_000691565.1	null	null	null	null	null	91
2285180830847453895	GCA_000696345.2	null	null	null	null	null	82
4228390594367673228	GCA_000698865.1	null	null	null	null	null	82
862827606416925089	GCA_000730425.1	null	null	null	null	null	82
506732240006277271	GCA_000733715.2	null	null	null	null	null	82
6379980564466202426	GCA_000746525.1	null	null	null	null	null	82
